file,line,match,tag,snippet
app/style/page.tsx,5650,rgba(255;255;255;0.55),,<p style={{ ...sans; fontSize: 15; color: 'rgba(255;255;255;0.55)'; maxWidth: 540; marginTop: 16 }}>
app/style/page.tsx,5762,#22C55E,,<p style={{ ...mono; fontSize: 10; color: story.status === 'Ready' ? '#22C55E' : c.gold; marginTop: 6 }}>{story.status}</p>
app/style/page.tsx,5800,#DF512B,,<CodeBlock code={`PATCH /api/divisions/{id}\n{\n  "accentColor": "#DF512B";\n  "tone": "warm"\n}`} />
components/site/Footer.tsx,98,rgba(0;0;0;0.95),,<div className="font-[Neuropa-Light;Neuropa;Archivo] font-normal tracking-[-0.4px] text-base uppercase text-[rgba(0;0;0;0.95)]">
components/site/Footer.tsx,108,rgba(0;0;0;0.95),,<h3 className="font-sans text-[12.7px] font-medium mb-4 text-[rgba(0;0;0;0.95)]">
components/site/Footer.tsx,127,rgba(0;0;0;0.95),,<h3 className="font-sans text-[12.7px] font-medium mb-4 text-[rgba(0;0;0;0.95)] leading-[20px]">
components/site/Footer.tsx,146,rgba(0;0;0;0.95),,<h3 className="font-sans text-[12.7px] font-medium mb-4 text-[rgba(0;0;0;0.95)] leading-[20px]">
components/site/Footer.tsx,165,rgba(0;0;0;0.95),,<h3 className="font-sans text-[12.7px] font-medium mb-4 text-[rgba(0;0;0;0.95)] leading-[20px]">
components/site/Footer.tsx,213,rgba(0;0;0;0.95),,<p className="text-[10.9px] font-normal text-[rgba(0;0;0;0.95)] leading-[16px] pb-3">
components/site/Footer.tsx,219,rgba(0;0;0;0.4),,<div className="pt-8 mt-8 border-t border-[rgba(0;0;0;0.4)]">
components/site/Footer.tsx,226,rgba(0;0;0;0.4) | rgba(0;0;0;0.95),,className="text-[rgba(0;0;0;0.4)] hover:text-[rgba(0;0;0;0.95)] transition-colors duration-200"
components/site/Footer.tsx,232,rgba(0;0;0;0.95),,<span className="text-[10.9px] font-normal text-[rgba(0;0;0;0.95)] leading-[16px]">
components/site/Hero.tsx,65,#efedea,,{hasMediaBackground && <div className="absolute inset-0 -z-20 bg-[#efedea]" />}
components/site/Hero.tsx,92,#efedea,,<div className="hero-overlay absolute inset-0 -z-10 bg-[#efedea]/60 opacity-0 transition-opacity duration-500" />
